Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Jensen,Nick,D,4,9,0," $600,000.00 ",17,28.3333333333333,No,No,,266
Clendening,Adam,D,2,9,0," $600,000.00 ",13,21.6666666666667,No,No,,267
Demelo,Dylan,D,1,7,0," $600,000.00 ",9,15,No,No,,268
Sproul,Ryan,D,1,6,0," $600,000.00 ",8,13.3333333333333,No,Yes,,269
Fedun,Taylor,D,0,7,0," $600,000.00 ",7,11.6666666666667,No,No,,270
Hunt,Brad,D,1,5,0," $600,000.00 ",7,11.6666666666667,No,No,,271
Rozsival,Michal,D,1,2,0," $600,000.00 ",4,6.66666666666667,No,Yes,,272
Helgeson,Seth,D,1,0,0," $600,000.00 ",2,3.33333333333333,No,No,,273
Melchiori,Julian,D,0,2,0," $600,000.00 ",2,3.33333333333333,No,No,,274
Strait,Brian,D,0,2,0," $600,000.00 ",2,3.33333333333333,No,No,,275
Butler,Chris,D,0,0,0," $600,000.00 ",0,0,No,No,,276
Corrado,Frank,D,0,0,0," $600,000.00 ",0,0,No,No,,277
Hanley,Joel,D,0,0,0," $600,000.00 ",0,0,No,No,,278
Oesterle,Jordan,D,0,0,0," $585,000.00 ",0,0,Yes,No,,279
Irwin,Matt,D,3,11,0," $575,000.00 ",17,29.5652173913043,No,No,,280
Ruhwedel,Chad,D,2,8,0," $575,000.00 ",12,20.8695652173913,No,No,,281
Mayfield,Scott,D,2,7,0," $575,000.00 ",11,19.1304347826087,No,No,,282
Weber,Yannick,D,1,7,0," $575,000.00 ",9,15.6521739130435,No,No,,283
Bitetto,Anthony,D,0,7,0," $575,000.00 ",7,12.1739130434783,No,No,,284
Gaunce,Cameron,D,1,3,0," $575,000.00 ",5,8.69565217391305,No,Yes,,285
Redmond,Zach,D,0,5,0," $575,000.00 ",5,8.69565217391305,No,No,,286
Witkowski,Luke,D,0,4,0," $575,000.00 ",4,6.95652173913044,No,No,,287
Bartkowski,Matt,D,1,1,0," $575,000.00 ",3,5.21739130434783,No,No,,288
Stollery,Karl,D,0,3,0," $575,000.00 ",3,5.21739130434783,No,No,,289
Oleksy,Steve,D,0,1,0," $575,000.00 ",1,1.73913043478261,No,No,,290
Warsofsky,David,D,0,1,0," $575,000.00 ",1,1.73913043478261,No,No,,291
Burgdoerfer,Erik,D,0,0,0," $575,000.00 ",0,0,No,No,,292
Granberg,Petter,D,0,0,0," $575,000.00 ",0,0,No,No,,293
McEneny,Evan,D,0,0,0," $575,000.00 ",0,0,No,No,,294
Ness,Aaron,D,0,0,0," $575,000.00 ",0,0,No,No,,295
Pardy,Adam,D,0,0,0," $575,000.00 ",0,0,No,No,,296
Carle,Matt,D,0,1,0,,1,0,No,No,,297
Grossmann,Nicklas,D,0,0,0,,0,0,No,No,,298
Kempny,Michal,D,2,6,0,,10,0,Yes,No,,299
Nakladal,Jakub,D,0,0,0,,0,0,No,No,,300
