Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Zuccarello,Mats,RW/C/LW,15,44,0," $4,500,000.00 ",74,16.4444444444444,No,No,,097
Barkov,Aleksander,C,21,31,0," $4,500,000.00 ",73,16.2222222222222,No,No,,098
Bozak,Tyler,C,18,37,0," $4,500,000.00 ",73,16.2222222222222,Yes,No,,099
Henrique,Adam,C,20,20,0," $4,500,000.00 ",60,13.3333333333333,No,No,,100
Gallagher,Brendan,RW,10,19,0," $4,500,000.00 ",39,8.66666666666667,No,No,,101
Brouwer,Troy,RW,13,12,0," $4,500,000.00 ",38,8.44444444444444,No,No,,102
MacArthur,Clarke,LW,0,0,0," $4,500,000.00 ",0,0,No,Yes,,103
Killorn,Alex,LW/C,19,17,0," $4,450,000.00 ",55,12.3595505617978,No,No,,104
Lehtera,Jori,C,7,15,0," $4,400,000.00 ",29,6.59090909090909,No,No,,105
Stafford,Drew,RW/LW,8,13,0," $4,350,000.00 ",29,6.66666666666667,No,No,,106
Simmonds,Wayne,RW/LW,31,23,0," $4,300,000.00 ",85,19.7674418604651,No,No,,107
Kucherov,Nikita,RW,40,45,1," $4,250,000.00 ",126,29.6470588235294,No,No,,108
Johansson,Marcus,LW/C/RW,24,34,0," $4,250,000.00 ",82,19.2941176470588,No,No,,109
Nyquist,Gustav,RW/C/LW,12,36,0," $4,250,000.00 ",60,14.1176470588235,No,No,,110
Sutter,Brandon,C,17,17,0," $4,250,000.00 ",51,12,No,No,,111
Eller,Lars,C/LW/RW,12,13,0," $4,250,000.00 ",37,8.70588235294118,No,No,,112
Kulemin,Nikolay,LW/RW,12,11,0," $4,250,000.00 ",35,8.23529411764706,No,No,,113
Turris,Kyle,C,27,28,0," $4,000,000.00 ",82,20.5,No,No,,114
Hossa,Marian,RW,26,19,0," $4,000,000.00 ",71,17.75,No,Yes,,115
Palat,Ondrej,LW,17,35,0," $4,000,000.00 ",69,17.25,No,No,,116
Johnson,Tyler,C,19,26,0," $4,000,000.00 ",64,16,No,No,,117
Jagr,Jaromir,RW,16,30,0," $4,000,000.00 ",62,15.5,No,No,,118
Rask,Victor,C,16,29,0," $4,000,000.00 ",61,15.25,No,No,,119
Fisher,Mike,C,18,24,0," $4,000,000.00 ",60,15,No,No,,120
Wilson,Colin,LW/C,12,23,0," $4,000,000.00 ",47,11.75,No,No,,121
Smith,Craig,RW/LW/C,12,17,0," $4,000,000.00 ",41,10.25,No,No,,122
Jokinen,Jussi,LW/RW/C,11,17,0," $4,000,000.00 ",39,9.75,No,No,,123
Huberdeau,Jonathan,LW/C,10,16,0," $4,000,000.00 ",36,9,Yes,No,,124
Read,Matt,RW/LW,10,9,0," $4,000,000.00 ",29,7.25,No,No,,125
Pouliot,Benoit,LW,8,6,0," $4,000,000.00 ",22,5.5,No,No,,126
Beleskey,Matt,LW,3,5,0," $4,000,000.00 ",11,2.75,No,Yes,,127
Hemsky,Ales,RW,4,3,0," $4,000,000.00 ",11,2.75,No,No,,128
Michalek,Milan,LW/RW,1,1,0," $4,000,000.00 ",3,0.75,No,No,,129
Toffoli,Tyler,C/RW/LW,16,18,0," $3,900,000.00 ",50,12.8205128205128,No,No,,130
Doan,Shane,RW/LW,6,21,0," $3,876,134.00 ",33,8.51363755742191,No,No,,131
Eakin,Cody,C,3,9,0," $3,850,000.00 ",15,3.8961038961039,No,No,,132
Hoffman,Mike,LW/C,26,35,1," $3,800,000.00 ",88,23.1578947368421,No,No,,133
Rakell,Rickard,C/RW,33,18,0," $3,800,000.00 ",84,22.1052631578947,No,No,,134
